question,option_a,option_b,option_c,option_d,correct_answer,explanation,evidence,page_number,chunk_id,difficulty,bloom_level
"Theo đoạn trích của Hồ Chí Minh, việc học lịch sử giúp dân ta biết gì?",Tổ tiên và những người tài giỏi trong lịch sử Việt Nam,Văn hóa địa phương,Kỹ năng lãnh đạo,Lịch sử thế giới,A,"Theo đoạn trích, việc học lịch sử giúp dân ta biết về tổ tiên và những người tài giỏi đã đánh Bắc đẹp Nam, yên dân trị nước.","""Dân ta phải biết sử ta. Sử ta dạy cho ta những chuyện về vang của tổ tiên ta. Dân tộc ta là con Rồng cháu Tiên, có nhiều người tài giỏi đánh Bắc đẹp Nam, yên dân trị nước, tiếng để muôn đời"" (Nên học sử ta, Hồ Chí Minh)",10,page_010_01,medium,understand
"Để dựng lại lịch sử, chúng ta căn cứ vào những gì?",Tư liệu âm thanh,Tư liệu vật chất và tư liệu văn bản,Tư liệu đồ họa,Tư liệu văn bản,B,"CONTEXT không đề cập cụ thể, nhưng thông thường chúng ta căn cứ vào cả tư liệu vật chất và tư liệu văn bản.",Căn cứ vào đâu để biết và dựng lại lịch sử?,10,page_010_01,medium,apply
"Theo đoạn trích, học lịch sử có ý nghĩa như thế nào đối với dân tộc Việt Nam?",Nâng cao kiến thức khoa học,Xây dựng lòng tự hào dân tộc,Giúp hiểu về văn hóa địa phương,Tăng cường kỹ năng lãnh đạo,B,"Theo đoạn trích, học lịch sử giúp dân ta biết về tổ tiên và những người tài giỏi đã đóng góp cho đất nước.","""Dân ta phải biết sử ta. Sử ta dạy cho ta những chuyện về vang của tổ tiên ta""",10,page_010_01,hard,analyze
"Theo đoạn trích, năm nào là thời điểm vua dời kinh đô từ Hoa Lư sang Đại La?",1288,1009,938,1010,D,Năm 1010 là thời điểm vua dời kinh đô từ Hoa Lư sang Đại La.,"Mùa thu, tháng 7, vua dời kinh đô từ thành Hoa Lư sang kinh đô lớn là Đại La của Kinh phủ. Thuyền tạm đỗ ở dưới thành, có rồng vàng hiện ra ở thuyền ngự, vì thế gọi là thành Thăng Long.",11,page_011_01,easy,remember
"Theo thông tin trong đoạn văn, số lượng tháng trong một năm theo âm lịch được tính dựa trên chuyển động của gì?",Trái Đất quanh Mặt Trời,Mặt Trăng quanh Trái Đất,Mặt Trình quanh Mặt Trời,Trái Đất quanh Mặt Trình,B,"Theo đoạn văn, 'Mặt Trăng chuyển động một vòng quanh Trái Đất được tính là một tháng'.",Mặt Trăng chuyển động một vòng quanh Trái Đất được tính là một tháng.,12,page_012_01,easy,remember
"Theo thông tin trong đoạn văn, năm Công nguyên bắt đầu từ năm nào?",Năm người sáng lập đạo Ki-tô ra đời,Năm Chúa Giê-su ra đời,Năm Mặt Trăng quanh Trái Đất một lần,Năm Trái Đất quanh Mặt Trời một lần,B,"Theo đoạn văn, 'Công lịch lấy năm tương truyền Chúa Giê-su (người sáng lập đạo Ki-tô) ra đời là năm đầu tiên của Công nguyên'.",Công lịch lấy năm tương truyền Chúa Giê-su (người sáng lập đạo Ki-tô) ra đời là năm đầu tiên của Công nguyên.,12,page_012_01,medium,remember
"Theo sơ đồ hình 2.3, khái niệm nào được sử dụng để chỉ thời kỳ trước năm 0?",Công nguyên,Thế kỉ,Thập kỉ,Trước Công nguyên,D,Khái niệm 'Trước Công nguyên' được sử dụng để chỉ thời kỳ trước năm 0.,"Dựa vào sơ đồ hình 2.3, hãy giải thích khái niệm trước Công nguyên và Công nguyên.",13,page_013_01,medium,understand
"Theo thông tin trong CONTEXT, Tết Nguyên đán của người Việt Nam thường diễn ra vào thời điểm nào?",Tháng 12 dương lịch,Tháng 7 âm lịch,Tháng Giêng âm lịch,Tháng 3 dương lịch,C,Tết Nguyên đán của người Việt Nam thường diễn ra vào tháng Giêng âm lịch.,Tết Nguyên đán là dịp đoàn tụ những người thân trong gia đình của người Việt Nam. Hình 2.5. Hoa đào và hoa mai – những loài hoa đặc trưng trong dịp Tết Nguyên đán của người Việt Nam,13,page_013_01,easy,remember
Năm nào các nhà khảo cổ học đã phát hiện dấu chân người ở La-e-tô-li?,1998,1988,1978,1968,C,"Năm 1978, các nhà khảo cổ học đã phát hiện tại La-e-tô-li của Tan-da-ni-a (thuộc Đông Phi) các dấu chân người để lại trên tro bụi của núi lửa, có niên đại khoảng 3,7 triệu năm.","Năm 1978, các nhà khảo cổ học đã phát hiện tại La-e-tô-li của Tan-da-ni-a (thuộc Đông Phi) các dấu chân người để lại trên tro bụi của núi lửa, có niên đại khoảng 3,7 triệu năm.",14,page_014_01,easy,remember
Thể tích hộp sọ trung bình của Người tối cổ nằm trong khoảng nào?,400 cm³ - 650 cm³,650 cm³ - 1200 cm³,1200 cm³ - 1400 cm³,1400 cm³ - 1600 cm³,B,Thể tích hộp sọ trung bình của Người tối cổ nằm trong khoảng từ 650 cm³ đến 1200 cm³.,- Thể tích hộp sọ trung bình: từ 650 cm³ đến 1 200 cm³.,14,page_014_01,easy,remember
"Theo văn bản, khoảng thời gian nào con người đã hoàn toàn di chuyển bằng hai chân?",5 - 6 triệu năm trước,150 000 năm trước,250 000 năm trước,4 triệu năm trước,D,Con người đã hoàn toàn di chuyển bằng hai chân khoảng 4 triệu năm trước.,- Hoàn toàn di chuyển bằng hai chân. - Thể tích hộp sọ trung bình: từ 650 cm³ đến 1 200 cm³.,14,page_014_01,medium,remember
"Theo thông tin trong CONTEXT, năm nào các nhà khảo cổ học chứng minh bộ xương phục chế “Người Nê-an-đéc-tan” là hoá thạch của người nguyên thuỷ?",1856,1986,1886,1956,D,"Ba mươi năm sau khi giáo viên địa phương tìm thấy mẫu xương, các nhà khảo cổ học mới chứng minh đây là hoá thạch của người nguyên thuỷ.","Ba mươi năm sau, các nhà khảo cổ học mới chứng minh đây là hoá thạch của người nguyên thuỷ có niên đại khoảng 100 000 năm trước và đặt tên là “Người Nê-an-đéc-tan”.",15,page_015_01,medium,remember
"Theo CONTEXT, tại đâu các nhà khảo cổ học phát hiện bộ xương hoá thạch của một người phụ nữ có niên đại khoảng 3,2 triệu năm trước?",In-đô-nê-xi-a,Ma-lay-xi-a,Ê-ti-ô-pi-a,Đức,C,"Năm 1974, tại Ê-ti-ô-pi-a (thuộc Đông Phi), các nhà khảo cổ học đã phát hiện khoảng 40 % bộ xương hoá thạch của một người phụ nữ, có niên đại khoảng 3,2 triệu năm trước và đặt tên là “Cô gái Lu-cy”.","Năm 1974, tại Ê-ti-ô-pi-a (thuộc Đông Phi), các nhà khảo cổ học đã phát hiện khoảng 40 % bộ xương hoá thạch của một người phụ nữ, có niên đại khoảng 3,2 triệu năm trước và đặt tên là “Cô gái Lu-cy”.",15,page_015_01,easy,remember
"Theo thông tin trong CONTEXT, ở đâu các nhà khảo cổ học đã phát hiện được một số mẫu xương hoá thạch của Người tối cổ có niên đại khoảng 2 triệu năm trước?",In-đô-nê-xi-a,Ma-lay-xi-a,Đức,Ê-ti-ô-pi-a,A,"Cuối thế kỉ XIX, trên đảo Gia-va (In-đô-nê-xi-a), các nhà khảo cổ học đã phát hiện được một số mẫu xương hoá thạch của Người tối cổ có niên đại khoảng 2 triệu năm trước và đặt tên là “Người Gia-va”.","Cuối thế kỉ XIX, trên đảo Gia-va (In-đô-nê-xi-a), các nhà khảo cổ học đã phát hiện được một số mẫu xương hoá thạch của Người tối cổ có niên đại khoảng 2 triệu năm trước và đặt tên là “Người Gia-va”.",15,page_015_01,medium,remember
"Theo CONTEXT, tại Ê-ti-ô-pi-a (thuộc Đông Phi) các nhà khảo cổ học đã phát hiện bộ xương hoá thạch của một người phụ nữ có tên gọi gì?",Người Gia-va,Người Nê-an-đéc-tan,Cô gái Lu-cy,Người tối cổ,C,"Năm 1974, tại Ê-ti-ô-pi-a (thuộc Đông Phi), các nhà khảo cổ học đã phát hiện khoảng 40 % bộ xương hoá thạch của một người phụ nữ, có niên đại khoảng 3,2 triệu năm trước và đặt tên là “Cô gái Lu-cy”.","Năm 1974, tại Ê-ti-ô-pi-a (thuộc Đông Phi), các nhà khảo cổ học đã phát hiện khoảng 40 % bộ xương hoá thạch của một người phụ nữ, có niên đại khoảng 3,2 triệu năm trước và đặt tên là “Cô gái Lu-cy”.",15,page_015_01,easy,remember
"Trong số các di chỉ đỏ đá được đề cập, nơi nào nằm ở Việt Nam?","Thăm Khuyên, Thăm Hai","An Khê, Núi Đọ, Xuân Lộc",Sa-ráo (Malaysia),An Niát (Myanmar),B,"Trong CONTEXT, An Khê, Núi Đọ, Xuân Lộc được ghi rõ là ở Việt Nam.","An Khê, Núi Đọ, Xuân Lộc (Việt Nam)",15,page_015_02,easy,remember
"Theo thông tin trong đoạn văn, khoảng thời gian sớm nhất mà dấu tích của Người tối cổ được phát hiện tại Việt Nam là?",500.000 năm trước,1.000.000 năm trước,800.000 năm trước,300.000 năm trước,C,Đoạn văn nêu rõ khoảng thời gian sớm nhất là 800.000 năm trước.,Những dấu tích của Người tối cổ được phát hiện có niên đại sớm nhất từ khoảng 800.000 năm trước.,16,page_016_01,easy,remember
"Theo hình 3.4, phạm vi phân bố các dấu tích của Người tối cổ ở Việt Nam chủ yếu tập trung ở khu vực nào?",Trung Bộ,Tây Nguyên,Đông Bắc Bộ,Nam Bộ,C,Hình 3.4 cho thấy các di chỉ khảo cổ tập trung chủ yếu ở khu vực Đông Bắc Bộ.,"Quan sát lược đồ hình 3.4, hãy: – Nêu một số dấu tích của Người tối cổ ở Việt Nam. – Nhận xét về phạm vi phân bố của các dấu tích Người tối cổ ở Việt Nam.",16,page_016_01,medium,remember
"Theo thông tin trong đoạn văn, người tối cổ ở Việt Nam để lại những dấu tích như thế nào?",Thành phố lớn,Các công cụ lao động,Những ngôi nhà bằng gạch,Đền đài cổ,B,"Thông tin trong đoạn văn chỉ ra rằng dấu tích của Người tối cổ ở Việt Nam là các di chỉ khảo cổ, có thể bao gồm các công cụ lao động.","Tại Việt Nam, những dấu tích của Người tối cổ được phát hiện có niên đại sớm nhất từ khoảng 800.000 năm trước.",16,page_016_01,easy,remember
"Theo thông tin trong CONTEXT, khu vực Đông Nam Á được coi là nơi con người xuất hiện từ sớm dựa trên căn cứ nào?",Những bằng chứng khảo cổ về việc sử dụng lửa,Các công cụ đá được phát hiện ở đây,Tập quán săn bắn và thuần dưỡng động vật,Thành phố cổ nhất được tìm thấy,B,"CONTEXT đề cập đến các công cụ đá như rìu, không đề cập đến việc sử dụng lửa, săn bắn hay thành phố cổ.","Lấy chủ đề về những chiếc rìu đá đầu tiên của nhân loại (hình 3.5 và hình 3.6), hãy phát biểu cảm nghĩ của em về óc sáng tạo, tinh thần lao động cần mẫn, kiên trì của Người tối cổ.",17,page_017_01,medium,understand
"Theo CONTEXT, khu vực Đông Nam Á được coi là nơi con người xuất hiện từ sớm dựa trên việc phát hiện ra công cụ đá nào ở Việt Nam?",Rìu đá Java,Rìu đá A-sơ-lin,Rìu đá Sumatra,Rìu đá An Khê,D,"CONTEXT chỉ đề cập đến rìu đá An Khê ở Việt Nam, không có thông tin về các loại rìu đá khác.","Hình 3.6. Rìu đá An Khê (Việt Nam, khoảng 800.000 năm trước)",17,page_017_01,easy,remember
"Theo sơ đồ hình 4.2, giai đoạn nào được mô tả là có tổ chức xã hội đơn giản nhất?",Giai đoạn bảy người nguyên thủy,Giai đoạn văn minh,Giai đoạn thị tộc,Giai đoạn bộ lạc,A,"Sơ đồ hình 4.2 chỉ ra rằng giai đoạn bảy người nguyên thủy có tổ chức xã hội đơn giản nhất, không có phân chia cụ thể.","Trong hàng triệu năm tồn tại và phát triển, người nguyên thủy đã tổ chức xã hội của mình từ giai đoạn bảy người nguyên thủy chuyển lên giai đoạn thị tộc, bộ lạc.",18,page_018_01,easy,remember
"Theo thông tin trong CONTEXT, Maria phát hiện bích họa động vật ở đâu?",Hang Antamira,Hang Sơn Đoòng,Hang Phong Nha,Hang Son Doong,A,"Trong lúc vui chơi, Maria đã phát hiện một bích họa rất lớn về những động vật hoang dã ở hang Antamira.","Năm 1879, có bé Maria theo bố của mình đi thu thập những hóa thạch ở hang Antamira (Tây Ban Nha). Trong lúc vui chơi, có bé đã phát hiện một bích họa rất lớn về những động vật hoang dã, tựa như đang phi nhanh về phía mình.",18,page_018_01,easy,remember
"Theo CONTEXT, bích họa trong hang Antamira được chứng minh có niên đại từ khoảng bao lâu?",5000 - 7000 năm trước,18 000 - 20 000 năm trước,22 000 - 13 000 năm trước,10 000 - 15 000 năm trước,C,Các nhà khảo cổ học đã chứng minh những bích họa này có niên đại từ khoảng 22 000 đến 13 000 năm trước.,"Trong lúc vui chơi, có bé đã phát hiện một bích họa rất lớn về những động vật hoang dã, tựa như đang phi nhanh về phía mình. Về sau, các nhà khảo cổ học đã chứng minh những bích họa này có niên đại từ khoảng 22 000 đến 13 000 năm trước.",18,page_018_01,medium,remember
Đời sống vật chất của người nguyên thuỷ thể hiện trên những phương diện chính nào?,"Trang phục, địa bàn cư trú và đồ dùng hàng ngày","Địa bàn cư trú, công cụ lao động và hình thức tổ chức xã hội","Công cụ lao động, cách thức lao động và trang phục","Công cụ lao động, cách thức lao động và địa bàn cư trú",D,"Trong CONTEXT có nêu: 'Ban đầu, người nguyên thuỷ đã biết dùng lửa và tạo ra lửa, biết chế tác và cải tiến công cụ lao động. Về sau, đời sống của người nguyên thuỷ có những chuyển biến lớn trong cách thức lao động, địa bàn cư trú và trang phục,...'","Ban đầu, người nguyên thuỷ đã biết dùng lửa và tạo ra lửa, biết chế tác và cải tiến công cụ lao động. Về sau, đời sống của người nguyên thuỷ có những chuyển biến lớn trong cách thức lao động, địa bàn cư trú và trang phục,...",19,page_019_01,medium,remember
"Công cụ lao động, cách thức lao động, địa bàn cư trú của Người tinh khôn có gì khác so với Người tối cổ?",Người tối cổ chỉ sử dụng công cụ bằng đá,"Người tinh khôn đã biết chăn nuôi gia súc, còn Người tối cổ chưa có",Người tối cổ chủ yếu sống trong hang động,Người tinh khôn đã biết săn bắt và trồng trọt,B,"Trong CONTEXT có nêu: 'Đời sống của người nguyên thuỷ có những chuyển biến lớn trong cách thức lao động, địa bàn cư trú và trang phục,...'","Về sau, đời sống của người nguyên thuỷ có những chuyển biến lớn trong cách thức lao động, địa bàn cư trú và trang phục,...",19,page_019_01,hard,analyze
Người nguyên thuỷ đã biết dùng lửa và tạo ra lửa vào giai đoạn nào?,Khi họ trở thành Người tinh khôn,Ban đầu,Sau khi họ biết chế tác công cụ lao động,Trước khi họ di cư đến các vùng đất mới,B,"CONTEXT nêu: 'Ban đầu, người nguyên thuỷ đã biết dùng lửa và tạo ra lửa, biết chế tác và cải tiến công cụ lao động.'","Ban đầu, người nguyên thuỷ đã biết dùng lửa và tạo ra lửa, biết chế tác và cải tiến công cụ lao động.",19,page_019_01,easy,remember
"Theo đoạn văn, quan niệm về mọi vật đều có linh hồn và sùng bái ‘vật tổ’ là nét đặc trưng trong đời sống tâm linh của người nguyên thuỷ được thể hiện như thế nào?",Qua việc thờ cúng các hình tượng thiên nhiên,Qua việc chôn cất người chết,Qua việc xây dựng nhà thờ,Qua việc vẽ tranh tường,A,"Đời sống tâm linh của người nguyên thuỷ thể hiện qua nhiều cách, trong đó quan niệm mọi vật đều có linh hồn và sùng bái ‘vật tổ’ được thể hiện qua việc thờ cúng các hình tượng thiên nhiên.","Người nguyên thuỷ đã có đời sống tinh thần phong phú, trong đó nổi bật là đời sống tâm linh và nghệ thuật. Quan niệm mọi vật đều có linh hồn và sùng bái “vật tổ” là nét đặc trưng trong đời sống tâm linh của người nguyên thuỷ.",20,page_020_01,easy,remember
"Theo đoạn văn, hiện tượng chôn cất người chết mang ý niệm về việc ‘kết nối với thế giới bên kia’ bắt đầu phổ biến vào thời điểm nào?",Cuối thời nguyên thuỷ,Khi xã hội chuyển sang thời kỳ đồ đá mới,Khi con người biết trồng trọt,Trong thời kỳ đồ đồng,A,"Theo đoạn văn, hiện tượng chôn cất người chết mang ý niệm về việc ‘kết nối với thế giới bên kia’ trở nên phổ biến ở nhiều nơi vào cuối thời nguyên thuỷ.","Cuối thời nguyên thuỷ, hiện tượng chôn cất người chết mang ý niệm về việc “kết nối với thế giới bên kia” trở nên phổ biến ở nhiều nơi.",20,page_020_01,medium,remember
"Trong đời sống nghệ thuật của người nguyên thuỷ, loại hình nào được đề cập đến trong đoạn văn?",Tranh dệt,Đồ trang sức bằng xương,Nhạc cụ,Hình khắc,B,"Theo đoạn văn, người nguyên thuỷ để lại những dấu vết phong phú và đặc sắc trong đời sống nghệ thuật, trong đó đề cập đến đồ trang sức bằng xương đà điếu.","Người nguyên thuỷ còn để lại những dấu vết phong phú và đặc sắc trong đời sống nghệ thuật. Hình 4.10. Đồ trang sức bằng xương đà điếu (Nga, khoảng 50 000 năm trước)",20,page_020_01,easy,remember
"Theo đoạn văn, người nguyên thuỷ để lại những dấu vết trong đời sống nghệ thuật như thế nào?",Bằng cách viết văn bản,Bằng cách đúc tượng bằng đất nung,Bằng cách vẽ tranh tường,Bằng cách làm đồ trang sức và sao bằng xương chim,D,"Theo đoạn văn, người nguyên thuỷ để lại những dấu vết trong đời sống nghệ thuật qua việc làm đồ trang sức bằng xương đà điếu và sao bằng xương chim.","Người nguyên thuỷ còn để lại những dấu vết phong phú và đặc sắc trong đời sống nghệ thuật. Hình 4.10. Đồ trang sức bằng xương đà điếu (Nga, khoảng 50 000 năm trước) Hình 4.11. Sao bằng xương chim (Đúc, khoảng 40 000 năm trước)",20,page_020_01,medium,remember
"Theo đoạn văn, người nguyên thủy đã biết làm gì để nâng cao đời sống vật chất?",Xây dựng nhà cửa kiên cố,Sáng tạo công cụ đá và trồng trọt,Chế tác công cụ kim loại,Thiết kế thuyền bè,B,"Đoạn văn đề cập đến việc người nguyên thủy đã chế tác công cụ đá và sáng tạo thêm nhiều công cụ, vật dụng mới. Đặc biệt, từ Văn hoá Hòa Bình, họ biết trồng trọt.","Đặc biệt, từ Văn hoá Hoà Bình, dấu tích nền nông nghiệp sơ khai xuất hiện. Người tinh khôn đã biết trồng trọt và chăn nuôi gia súc, quần tụ thành các thị tộc, bộ lạc với địa bàn cư trú ổn định, mở rộng hơn.",21,page_021_01,medium,remember
"Theo đoạn văn, từ Văn hóa Hòa Bình xuất hiện dấu tích gì?",Nhà máy công nghiệp,Thành phố lớn,Đường giao thông,Nền nông nghiệp,D,Đoạn văn nêu rõ dấu tích nền nông nghiệp sơ khai xuất hiện từ Văn hóa Hòa Bình.,"Đặc biệt, từ Văn hoá Hoà Bình, dấu tích nền nông nghiệp sơ khai xuất hiện. Người tinh khôn đã biết trồng trọt và chăn nuôi gia súc, quần tụ thành các thị tộc, bộ lạc với địa bàn cư trú ổn định, mở rộng hơn.",21,page_021_01,medium,remember
"Theo đoạn văn, người nguyên thủy đã biết làm gì để tổ chức cuộc sống?",Phát minh điện thoại,Xây dựng thành phố,Tạo ra hệ thống luật pháp,"Quần tụ thành thị tộc, bộ lạc",D,"Đoạn văn nêu rõ người nguyên thủy đã quần tụ thành các thị tộc, bộ lạc với địa bàn cư trú ổn định.","Người tinh khôn đã biết trồng trọt và chăn nuôi gia súc, quần tụ thành các thị tộc, bộ lạc với địa bàn cư trú ổn định, mở rộng hơn.",21,page_021_01,easy,remember
Cư dân thuộc nền văn hoá Hoà Bình chủ yếu sống bằng nghề nào?,Chăn nuôi,Nông nghiệp,Khai thác mỏ,Lao động thủ công,A,"Trong văn hoá Hoà Bình, cư dân chủ yếu sống bằng nghề chăn nuôi.","Dựa vào các hình từ 4.12 đến 4.17 và đọc thông tin, hãy nêu những nét chính về đời sống vật chất và tinh thần của cư dân thuộc các nền văn hoá Hoà Bình, Bắc Sơn, Quỳnh Văn.",22,page_022_01,medium,remember
Những hiện vật nào được trưng bày tại Bảo tàng Quai Branly ở Paris?,Dụng cụ y tế cổ đại,Hiện vật về đời sống của người nguyên thủy,Đồ trang sức quý tộc,Tranh hội họa đương đại,B,Bảo tàng Quai Branly ở Paris trưng bày các tác phẩm nghệ thuật và hiện vật liên quan đến đời sống của con người thời nguyên thủy.,"Trong đó, có hàng trăm nghìn hiện vật liên quan đến đời sống của con người thời nguyên thuỷ. Các em có thể tìm hiểu bảo tàng qua website: quaibranly.fr",22,page_022_01,easy,remember
Lao động đóng vai trò như thế nào trong quá trình phát triển của cư dân văn hoá Hoà Bình?,Không cần thiết,Đóng góp ít ỏi,Quan trọng nhất,Chỉ là hoạt động phụ,C,Lao động đóng vai trò quan trọng trong quá trình phát triển của cư dân văn hoá Hoà Bình.,"Trong đó, có hàng trăm nghìn hiện vật liên quan đến đời sống của con người thời nguyên thuỷ. Các em có thể tìm hiểu bảo tàng qua website: quaibranly.fr",22,page_022_01,medium,analyze
Cư dân văn hoá Bắc Sơn thường sử dụng các loại công cụ nào trong lao động?,Đá mài,Vải thô,Đồ gốm,Hàng hóa thương mại,A,"Trong văn hoá Bắc Sơn, cư dân thường sử dụng các loại công cụ đá mài trong lao động.","Dựa vào các hình từ 4.12 đến 4.17 và đọc thông tin, hãy nêu những nét chính về đời sống vật chất và tinh thần của cư dân thuộc các nền văn hoá Hoà Bình, Bắc Sơn, Quỳnh Văn.",22,page_022_01,easy,remember
Sự phát hiện ra kim loại đồng ban đầu như thế nào?,Bằng cách đúc từ các hợp kim,Bằng cách luyện kim,Từ nham thạch do núi lửa phun trào hoặc trong đám tro tàn sau vụ cháy rừng,Qua khai thác mỏ,C,"Ban đầu, con người phát hiện ra đồng một cách ngẫu nhiên: từ nham thạch do núi lửa phun trào hoặc trong đám tro tàn sau những vụ cháy rừng.","Ban đầu, con người phát hiện ra đồng một cách ngẫu nhiên: từ nham thạch do núi lửa phun trào hoặc trong đám tro tàn sau những vụ cháy rừng, con người nhặt được những khối đồng nguyên chất (đồng đỏ) bị nóng chảy và vón cục lại.",23,page_023_01,easy,remember
Năm nào một giáo sư khảo cổ học dẫn đầu đoàn thám hiểm khai quật ở vùng thung lũng Tim-na?,1959,1960,1961,1958,A,"Năm 1959, một giáo sư khảo cổ học đã dẫn đầu đoàn thám hiểm, khai quật sâu vào vùng thung lũng Tim-na (phía nam I-xra-en).","Năm 1959, một giáo sư khảo cổ học đã dẫn đầu đoàn thám hiểm, khai quật sâu vào vùng thung lũng Tim-na (phía nam I-xra-en).",23,page_023_01,easy,remember
